Tarea	Usuario	Texto	Lang_Texto	Respuesta	Lang_Resp	Autor_respuesta	A_favor	En_contra
Traduccion	7	Estoy desolada por la pérdida de mi mascota adorada. Apolito, mi compañero de vida por más de 15 años. Te amaré por siempre.	ES	I'm devastated by the loss of my beloved pet, Apolito, my life companion for more than 15 years. I'll love you forever.	EN	93	0	1
				I am devastated by the loss of my beloved pet. Apolito, my life partner for more than 15 years. I love you forever.	EN	90	2	93
							3	4
								5
				I am devastated by the loss of my beloved pet. Apolito, my life companion for more than 15 years. I'll love you forever.	EN	4	6	
Corregir		Can you guess where I photographed this wonderful landscape?	EN	Can you guess where I photographed this wonderful landscape?	EN	4	8	
							93	
							2	
							3	
							4	
							0	
							9	
							6	
							10	
							11	
Ejercicio Ingles	14	Que nome lindo	PR	What name pretty	EN	14	15	3
				What a pretty name.	EN	3	16	
							17	
				What a beautiful name!	EN	91		
Practicar escritura	18	How long have you been in Australia?	EN	¿Cuánto tiempo has estado en Australia?	ES	18	4	
							3	
							19	
				¿Cuánto tiempo llevas en Australia?	ES	93	0	
							20	
							5	
				¿Hace cuánto que estás en Australia?	ES	91	21	93
							22	
Practicar escritura	23	Sami took the witness stand.	EN	Sami tomó el cubículo vacìo	ES	23	24	25
								93
								26
								19
				Sami subió al estrado de los testigos.	ES	93	27	
							1	
							28	
							5	
				Sami adopto la opinión del testigo	ES	92	3	
							29	
				Sami tomó el estrado de los testigos	ES	25		92
								4
								0
Ejercicio de Ingles	23	En Nueva York me perdí.	ES	I lost in New York	EN	23	24	25
							18	93
							0	5
				I got lost in New York	EN	25	28	
							4	
							27	
				I lost my way in New York.	EN	93	1	92
							3	
Ejercicio de ingles	28	Tom informed Mary why she had to do that.	EN	Tom le informó a Mary del porqué ella debería haber hecho esa cosa.	ES	28	24	93
							27	
							1	
				Tom le informó a Mary por qué ella tenía que hacer eso.	ES	93	3	
							4	
							23	
							0	
							5	
Ejercicio de ingles		Ils sont tombés dessus par hasard.	FR	They fell on by chance	EN	30	24	
							23	
							0	
				They stumbled upon it by chance.	EN	91	31	
							3	
							12	
Ejercicio de ingles	23	Mary knows she's got to keep working.	EN	Mary sabe que tiene que seguir trabajando	ES	23	24	3
							93	
							1	
							28	
							27	
							0	
				Mary sabe que tenía que seguir trabajando	ES	3	4	
Ejercicio deingles	23	Su meta no es ganar dinero.	ES	His goal is to win money	EN	23	93	
							0	
				His goal is not to make money. / Your goal is not to make money.	EN	93	28	
							3	
							4	
				His goal is to not earn money.	EN	91	24	25
							32	
				Your goal is not to make money	EN	25	1	
Ejercicio de Ingles	32	The fog reeked of oil.	EN	La grenouille puait l’huile	FR	32	23	12
								0
				Le brouillard puait l’huile	FR	12	31	
							24	
							3	
Ejercicio de ingles	32	Tom's mom raised him by herself.	EN	La maman de tom s’élève par soi-même	FR	32	24	12
							31	
				La maman de Tom l'a élévé par soi-même	FR	12	3	
							33	
							23	
							0	
Ejercicio de Ingles	23	¿Cómo te has enterado de la noticia?	ES	How have you known the new?	EN	23	24	25
								93
								92
								3
								26
				How did you hear about the news?	EN	25	1	
							28	
							34	
							0	
				How did you hear the news?	EN	93	35	
							4	
Traduccion a ingles		Fais quelque chose	FR	Do something	EN	90	24	
							23	
							3	
							37	
							32	
							30	
Correccion de ingles	38	Hello, Everybody. I’m exciting to use this app, I hope improve my skills.	EN	Hello, Everybody. I’m exciting to use this app, I hope improve my skills.	EN	38	23	39
								40
								3
								41
								42
								43
								4
								33
								44
				Hello everybody. I’m excited to using this app. I hope to improve my skills.	EN	39	5	
							45	
							46	
							24	
							9	
							8	
				Hello everybody. I’m excited to be using this app. I hope to improve my skills.	EN	93	37	
							1	
							31	
							10	
ejercicio de ingles	13	D'habitude, je ne me trompe pas.	FR	Normaly I'am never wrong	EN	13	23	31
								0
								33
				I usually don't make mistakes.	EN	91	24	
							3	
				Normaly I’m never wrong	EN	31	47	
							32	
